source_record_key,claim_area,citation,doi_or_pmid,publication_year,study_type,population,applicability,limitations,evidence_grade,review_required
moves-starter-v1:mobility:deep-squat-mobility-hold,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:dynamic-half-kneeling-hip-flexor,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:forearm-pronation-supination,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:hip-90-90-switch,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:quadruped-thoracic-rotation,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:quadruped-wrist-rock,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:scapular-circles,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:seated-hip-external-rotation,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:seated-hip-internal-rotation,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:shoulder-car,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:side-lying-open-book,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:thoracic-extension-chair,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:toe-extension-rock,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:wall-angels,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:mobility:wall-shoulder-flexion-slide,"Mobilność: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja","Konrad A, et al. Chronic effects of stretching on range of motion with consideration of potential moderating variables: a systematic review with multilevel meta-analysis. J Sport Health Sci. 2024.",DOI:10.1016/j.jshs.2023.06.002; PMID:37301370,2024,systematic review and meta-analysis,healthy participants,range-of-motion exercise families,heterogeneous protocols; not a source for precise tissue allocation,MODERATE,false
moves-starter-v1:strength:band-pull-apart,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:band-pulldown,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:band-row,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:band-triceps-extension,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:bilateral-calf-raise,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:bodyweight-hip-hinge,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:bodyweight-squat,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:box-squat,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:bulgarian-split-squat,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dead-bug,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dumbbell-biceps-curl,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dumbbell-floor-press,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dumbbell-lateral-raise,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dumbbell-overhead-press,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dumbbell-rdl,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dumbbell-wrist-curl,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:dumbbell-wrist-extension,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:farmer-carry,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:forward-lunge,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:front-plank,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:glute-bridge,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:goblet-squat,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:incline-push-up,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:kettlebell-deadlift,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:knee-push-up,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:one-arm-dumbbell-row,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:reverse-lunge,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:side-plank-knees,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
moves-starter-v1:strength:single-leg-bridge,"Ogólny trening siłowy: tożsamość ruchu, klasyfikacja i ostrożna ekspozycja",American College of Sports Medicine position stand. Progression models in resistance training for healthy adults. Med Sci Sports Exerc. 2009;41(3):687-708.,DOI:10.1249/MSS.0b013e3181915670; PMID:19204579,2009,position stand,healthy adults,"exercise identity, resistance-training modes and broad progression context",does not validate exercise-specific anatomy coefficients,MODERATE,false
